Source pickle: batches/CRUMB_batches/data_batch_1
Keys: ['batch_label', 'labels', 'complete_labels', 'data', 'filenames']
batch_label: training batch 1 of 6
data shape: (300, 150, 150)
Number of sources: 300

filename                                                labels complete_labels(MiraBest,FR-DEEP,AT17,Hybrid)
./CombinedCat/PNG/Scaled_Final/115.358_+048.154.png          0 [np.int64(-1), np.int64(0), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/115.430_+017.687.png          0 [np.int64(-1), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/115.774_+027.174.png          0 [np.int64(-1), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/115.791_+052.063.png          0 [np.int64(-1), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/115.964_+028.358.png          0 [np.int64(-1), np.int64(0), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/116.399_+033.963.png          0 [np.int64(3), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/116.785_+017.291.png          0 [np.int64(0), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/117.079_+045.746.png          0 [np.int64(0), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/117.368_+052.039.png          0 [np.int64(-1), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/118.184_+045.949.png          0 [np.int64(3), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/118.291_+035.933.png          0 [np.int64(-1), np.int64(0), np.int64(0), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/118.448_+023.032.png          0 [np.int64(0), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/118.778_+026.354.png          0 [np.int64(0), np.int64(0), np.int64(0), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/119.170_+060.506.png          0 [np.int64(-1), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/119.617_+037.787.png          0 [np.int64(0), np.int64(0), np.int64(0), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/120.256_+013.831.png          0 [np.int64(0), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/120.305_+034.675.png          0 [np.int64(0), np.int64(0), np.int64(0), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/120.397_+050.162.png          0 [np.int64(-1), np.int64(-1), np.int64(1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/120.817_+024.677.png          0 [np.int64(-1), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/120.861_+030.624.png          0 [np.int64(-1), np.int64(0), np.int64(0), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/120.907_+010.845.png          0 [np.int64(0), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/121.131_+019.370.png          0 [np.int64(-1), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/121.506_+019.104.png          0 [np.int64(3), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/121.839_+014.272.png          0 [np.int64(-1), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/122.346_+021.263.png          0 [np.int64(-1), np.int64(0), np.int64(0), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/122.412_+034.927.png          0 [np.int64(0), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/122.798_+028.797.png          0 [np.int64(3), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/122.857_+043.628.png          0 [np.int64(3), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/122.919_+040.249.png          0 [np.int64(0), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/122.923_+010.487.png          0 [np.int64(0), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/123.182_+025.046.png          0 [np.int64(3), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/123.251_+043.797.png          0 [np.int64(0), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/123.264_+013.435.png          0 [np.int64(0), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/123.590_+052.403.png          0 [np.int64(0), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/123.847_+011.954.png          0 [np.int64(-1), np.int64(0), np.int64(0), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/123.940_+037.177.png          0 [np.int64(-1), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/124.018_+011.414.png          0 [np.int64(-1), np.int64(0), np.int64(0), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/124.059_+042.949.png          0 [np.int64(-1), np.int64(0), np.int64(0), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/124.250_+057.276.png          0 [np.int64(-1), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/124.503_+049.937.png          0 [np.int64(1), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/124.516_+054.619.png          0 [np.int64(0), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/124.544_+023.536.png          0 [np.int64(1), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/124.707_+004.109.png          0 [np.int64(-1), np.int64(0), np.int64(0), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/124.725_+022.796.png          0 [np.int64(3), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/124.729_+020.106.png          0 [np.int64(0), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/124.886_+020.130.png          0 [np.int64(-1), np.int64(0), np.int64(0), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/124.916_+057.767.png          0 [np.int64(-1), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/125.105_+016.023.png          0 [np.int64(-1), np.int64(0), np.int64(0), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/125.117_+048.896.png          0 [np.int64(-1), np.int64(0), np.int64(0), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/125.339_+025.318.png          0 [np.int64(0), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/125.521_+032.502.png          0 [np.int64(3), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/125.564_+031.677.png          0 [np.int64(0), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/125.818_+053.953.png          0 [np.int64(2), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/126.001_+015.580.png          0 [np.int64(0), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/126.002_+003.297.png          0 [np.int64(3), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/126.134_+020.457.png          0 [np.int64(3), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/126.139_+014.618.png          0 [np.int64(3), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/126.182_+052.007.png          0 [np.int64(-1), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/126.397_+048.295.png          0 [np.int64(0), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/126.484_+017.861.png          0 [np.int64(0), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/126.516_+047.320.png          0 [np.int64(-1), np.int64(0), np.int64(0), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/126.535_+003.984.png          0 [np.int64(3), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/126.640_+021.730.png          0 [np.int64(0), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/126.874_+053.126.png          0 [np.int64(-1), np.int64(0), np.int64(0), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/126.890_+016.015.png          0 [np.int64(0), np.int64(0), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/127.147_+032.474.png          0 [np.int64(0), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/127.270_+017.904.png          0 [np.int64(3), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/127.294_+063.377.png          0 [np.int64(-1), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/127.360_+022.743.png          0 [np.int64(-1), np.int64(0), np.int64(0), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/127.782_+039.239.png          0 [np.int64(0), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/127.801_+043.700.png          0 [np.int64(0), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/127.912_+022.573.png          0 [np.int64(0), np.int64(0), np.int64(0), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/127.949_+022.652.png          0 [np.int64(0), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/127.999_+030.659.png          0 [np.int64(-1), np.int64(0), np.int64(0), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/128.101_+016.830.png          0 [np.int64(-1), np.int64(0), np.int64(0), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/128.103_+018.815.png          0 [np.int64(0), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/128.445_+045.255.png          0 [np.int64(0), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/129.213_+018.717.png          0 [np.int64(3), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/129.876_+059.830.png          0 [np.int64(-1), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/130.353_+061.205.png          0 [np.int64(-1), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/130.383_-002.051.png          0 [np.int64(-1), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/130.389_+040.345.png          0 [np.int64(3), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/130.419_+025.808.png          0 [np.int64(-1), np.int64(0), np.int64(0), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/130.499_+050.098.png          0 [np.int64(-1), np.int64(0), np.int64(0), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/130.996_+051.090.png          0 [np.int64(3), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/131.189_+021.492.png          0 [np.int64(0), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/131.194_+011.915.png          0 [np.int64(0), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/131.314_+059.480.png          0 [np.int64(3), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/131.727_-001.530.png          0 [np.int64(-1), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/131.996_+031.786.png          0 [np.int64(3), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/132.391_+028.370.png          0 [np.int64(-1), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/132.519_+023.214.png          0 [np.int64(3), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/132.722_+013.821.png          0 [np.int64(-1), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/132.723_+047.898.png          0 [np.int64(0), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/132.758_+008.014.png          0 [np.int64(3), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/132.772_+008.852.png          0 [np.int64(0), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/132.818_+008.456.png          0 [np.int64(0), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/000.395_-008.865.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/000.676_-000.222.png          1 [np.int64(7), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/003.845_+000.156.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/005.053_+000.081.png          1 [np.int64(7), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/005.282_-000.925.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/010.467_+000.476.png          1 [np.int64(7), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/010.862_-010.906.png          1 [np.int64(7), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/011.019_+001.031.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/012.414_+000.998.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/012.742_-009.490.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/014.173_-010.868.png          1 [np.int64(7), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/016.351_-009.813.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/018.607_+000.492.png          1 [np.int64(5), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/019.628_-010.732.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/020.485_-000.490.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/023.197_+001.263.png          1 [np.int64(5), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/023.358_-010.439.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/028.584_-008.279.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/029.202_-001.114.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/030.572_-001.128.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/030.717_-000.815.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/035.137_+000.468.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/037.204_-007.283.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/041.494_-006.817.png          1 [np.int64(7), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/108.647_+045.667.png          1 [np.int64(-1), np.int64(1), np.int64(1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/111.925_+044.567.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/113.253_+039.418.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/115.850_+023.607.png          1 [np.int64(7), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/116.426_+031.715.png          1 [np.int64(-1), np.int64(1), np.int64(1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/116.727_+019.570.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/116.985_+037.442.png          1 [np.int64(7), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/117.450_+055.906.png          1 [np.int64(-1), np.int64(1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/118.091_+033.564.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/118.875_+052.081.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/119.107_+037.058.png          1 [np.int64(7), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/119.120_+050.288.png          1 [np.int64(7), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/119.882_+012.471.png          1 [np.int64(7), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/119.947_+037.647.png          1 [np.int64(-1), np.int64(1), np.int64(1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/120.280_+017.980.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/120.283_+043.842.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/120.947_+053.802.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/121.019_+015.560.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/121.113_+016.558.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/121.334_+016.795.png          1 [np.int64(7), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/121.396_+024.164.png          1 [np.int64(5), np.int64(1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/121.786_+033.455.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/122.515_+042.468.png          1 [np.int64(-1), np.int64(1), np.int64(1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/123.191_+057.798.png          1 [np.int64(7), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/123.248_+032.718.png          1 [np.int64(-1), np.int64(1), np.int64(1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/123.400_+048.217.png          1 [np.int64(-1), np.int64(1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/123.432_+026.920.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/123.432_+052.961.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/123.801_+038.679.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/124.008_+038.071.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/124.120_+008.963.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/124.394_+044.981.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/124.719_+026.398.png          1 [np.int64(7), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/124.759_+049.627.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/124.948_+052.542.png          1 [np.int64(-1), np.int64(1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/125.193_+006.626.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/125.391_+047.043.png          1 [np.int64(-1), np.int64(1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/125.698_+004.297.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
